Client 5 started! ... 
Client 5 connected to the server!
Client 5 initialized!
Loss = 2.3171772956848145, Accuracy = 0.1875
Loss = 3.474327802658081, Accuracy = 0.0
Loss = 3.5108401775360107, Accuracy = 0.0
Loss = 3.4319422245025635, Accuracy = 0.0
Loss = 3.5336015224456787, Accuracy = 0.0
Loss = 3.506537675857544, Accuracy = 0.0
Loss = 3.5599780082702637, Accuracy = 0.0
Loss = 3.4291927814483643, Accuracy = 0.0
Loss = 3.513869524002075, Accuracy = 0.0
Loss = 3.746864080429077, Accuracy = 0.0
Loss = 3.6277129650115967, Accuracy = 0.0
Loss = 3.6507821083068848, Accuracy = 0.0
Loss = 3.5220577716827393, Accuracy = 0.0
Loss = 3.326479196548462, Accuracy = 0.0
Loss = 3.673579454421997, Accuracy = 0.0
Loss = 3.639803171157837, Accuracy = 0.0
Loss = 3.925133466720581, Accuracy = 0.0
Loss = 3.5803117752075195, Accuracy = 0.0
Loss = 3.4463376998901367, Accuracy = 0.0
Loss = 3.650359630584717, Accuracy = 0.0
Loss = 3.676161527633667, Accuracy = 0.0
Loss = 3.566551446914673, Accuracy = 0.0
Loss = 3.556002378463745, Accuracy = 0.0
Loss = 3.620192527770996, Accuracy = 0.0
Loss = 3.5410053730010986, Accuracy = 0.0
Loss = 3.6596627235412598, Accuracy = 0.0
Loss = 3.6632535457611084, Accuracy = 0.0
Loss = 3.1984050273895264, Accuracy = 0.0
Loss = 3.430671215057373, Accuracy = 0.0
Loss = 3.515286445617676, Accuracy = 0.0
Loss = 3.2634596824645996, Accuracy = 0.0
Loss = 3.5361287593841553, Accuracy = 0.0
Loss = 3.4481711387634277, Accuracy = 0.0
Loss = 3.334768056869507, Accuracy = 0.0
Loss = 3.6537046432495117, Accuracy = 0.0
Loss = 3.7005364894866943, Accuracy = 0.0
Loss = 3.79902982711792, Accuracy = 0.0
Loss = 3.535646438598633, Accuracy = 0.0
Loss = 3.6661477088928223, Accuracy = 0.0
Loss = 3.8063151836395264, Accuracy = 0.0
Loss = 3.402249336242676, Accuracy = 0.0
Loss = 3.4894235134124756, Accuracy = 0.0
Loss = 3.4456565380096436, Accuracy = 0.0
Loss = 3.5877294540405273, Accuracy = 0.0
Loss = 3.6506242752075195, Accuracy = 0.0
Loss = 3.5923006534576416, Accuracy = 0.0
Loss = 3.883133888244629, Accuracy = 0.0
Loss = 3.6138672828674316, Accuracy = 0.0
Loss = 3.788759469985962, Accuracy = 0.0
Loss = 3.5265841484069824, Accuracy = 0.0
Loss = 3.3870556354522705, Accuracy = 0.0
Loss = 3.4720921516418457, Accuracy = 0.0
Loss = 3.59865140914917, Accuracy = 0.0
Loss = 3.6346685886383057, Accuracy = 0.0
Client 5 terminated! ...
