Client 6 started! ... 
Client 6 connected to the server!
Loss = 1.9915, Accuracy = 0.5042
Loss = 0.3481, Accuracy = 0.9048
Loss = 0.3477, Accuracy = 0.904
Loss = 0.3477, Accuracy = 0.9053
Loss = 0.3471, Accuracy = 0.9056
Loss = 0.3469, Accuracy = 0.9042
Loss = 0.3463, Accuracy = 0.9044
Loss = 0.346, Accuracy = 0.9051
Loss = 0.3456, Accuracy = 0.9049
Loss = 0.3453, Accuracy = 0.9053
Loss = 0.3451, Accuracy = 0.9058
Loss = 0.3449, Accuracy = 0.9048
Loss = 0.344, Accuracy = 0.9061
Loss = 0.3436, Accuracy = 0.9055
Loss = 0.3432, Accuracy = 0.906
Loss = 0.3424, Accuracy = 0.9068
Loss = 0.342, Accuracy = 0.9062
Loss = 0.3416, Accuracy = 0.907
Loss = 0.341, Accuracy = 0.9079
Loss = 0.341, Accuracy = 0.908
Loss = 0.3408, Accuracy = 0.9064
Loss = 0.3406, Accuracy = 0.9069
Loss = 0.3406, Accuracy = 0.9074
Loss = 0.3406, Accuracy = 0.9068
Loss = 0.3404, Accuracy = 0.9069
Loss = 0.3402, Accuracy = 0.9068
Loss = 0.3399, Accuracy = 0.9066
Loss = 0.3393, Accuracy = 0.9055
Loss = 0.3389, Accuracy = 0.9071
Loss = 0.339, Accuracy = 0.9074
Loss = 0.3385, Accuracy = 0.9069
Loss = 0.3386, Accuracy = 0.9069
Loss = 0.3383, Accuracy = 0.9074
Loss = 0.3381, Accuracy = 0.908
Loss = 0.3379, Accuracy = 0.9068
Loss = 0.3379, Accuracy = 0.9081
Loss = 0.3376, Accuracy = 0.909
Loss = 0.3368, Accuracy = 0.9074
Loss = 0.3366, Accuracy = 0.9089
Loss = 0.336, Accuracy = 0.9077
Loss = 0.3362, Accuracy = 0.9074
Loss = 0.3358, Accuracy = 0.9069
Loss = 0.3354, Accuracy = 0.908
Loss = 0.3348, Accuracy = 0.9081
Loss = 0.3343, Accuracy = 0.9078
Loss = 0.3343, Accuracy = 0.9082
Loss = 0.3343, Accuracy = 0.9085
Loss = 0.3342, Accuracy = 0.9079
Loss = 0.3338, Accuracy = 0.9083
Loss = 0.3336, Accuracy = 0.9086
Loss = 0.3336, Accuracy = 0.9086
Loss = 0.3331, Accuracy = 0.9084
Loss = 0.3329, Accuracy = 0.9092
Loss = 0.3324, Accuracy = 0.9094
Loss = 0.3325, Accuracy = 0.9088
Loss = 0.3322, Accuracy = 0.9092
Loss = 0.332, Accuracy = 0.9079
Loss = 0.3317, Accuracy = 0.9091
Loss = 0.3316, Accuracy = 0.9096
Client 6 terminated! ...
